year,rank,company,revenue,profit
1955.0,1.0,General Motors,9823.5,806.0
1955.0,2.0,Exxon Mobil,5661.4,584.8
1955.0,3.0,U.S. Steel,3250.4,195.4
1955.0,5.0,Esmark,2510.8,19.1
1955.0,6.0,Chrysler,2071.6,18.5
1955.0,7.0,Armour,2056.1,1.6
1955.0,8.0,Gulf Oil,1705.3,182.8
1955.0,9.0,Mobil,1703.6,183.8
1955.0,10.0,DuPont,1687.7,344.4
1955.0,11.0,Amoco,1667.4,132.8
1955.0,12.0,Bethlehem Steel,1660.3,117.2
1955.0,13.0,CBS,1631.0,84.6
1955.0,14.0,Texaco,1574.4,226.1
1955.0,15.0,AT&T Technologies,1526.2,55.8
1955.0,16.0,Shell Oil,1312.1,121.1
1955.0,17.0,Kraft,1210.3,37.4
1955.0,18.0,ChevronTexaco,1113.3,211.9
1955.0,19.0,Goodyear Tire & Rubber,1090.1,48.1
1955.0,20.0,Boeing,1033.2,37.0
1955.0,21.0,Sinclair Oil,1021.5,91.6
1955.0,22.0,Navistar International,994.1,36.3
1955.0,23.0,RCA,941.0,40.5
1955.0,24.0,Union Carbide,923.7,89.8
1955.0,25.0,Firestone Tire & Rubber,916.0,40.5
1955.0,26.0,Douglas Aircraft,915.2,36.2
1955.0,27.0,Procter & Gamble,911.0,52.3
1955.0,28.0,Republic Steel,846.3,52.9
1955.0,29.0,Citgo Petroleum,813.2,43.7
1955.0,30.0,ConocoPhillips,794.6,76.2
1955.0,31.0,General Foods,783.0,27.9
1955.0,32.0,Uniroyal,782.6,28.0
1955.0,34.0,Lockheed Martin,732.9,22.4
1955.0,35.0,Alcoa,708.3,46.5
1955.0,36.0,International Paper,681.2,73.5
1955.0,37.0,Wilson,680.5,3.1
1955.0,41.0,General Dynamics,648.6,20.8
1955.0,42.0,Rockwell Automation,645.8,22.2
1955.0,43.0,Eastman Kodak,633.5,69.8
1955.0,44.0,Goodrich,630.7,38.8
1955.0,45.0,Continental Group,616.2,20.7
1955.0,46.0,Bendix,607.7,25.5
1955.0,47.0,Atlantic Richfield,596.2,36.8
1955.0,48.0,Fortune Brands,533.1,41.3
1955.0,49.0,Ryerson Tull,532.0,41.1
1955.0,50.0,ARMCO,530.8,43.1
1955.0,51.0,Honeywell Intl.,519.7,10.8
1955.0,52.0,AMAX,509.5,43.1
1955.0,53.0,Conoco,500.1,41.7
1955.0,54.0,Allis-Chalmers,492.9,26.1
1955.0,55.0,Jones & Laughlin Steel,492.9,25.0
1955.0,56.0,General Mills,487.6,11.2
1955.0,57.0,National Intergroup,484.1,30.3
1955.0,58.0,Curtiss-Wright,475.1,19.4
1955.0,59.0,Olin,470.1,34.3
1955.0,60.0,Asarco,466.8,21.5
1955.0,61.0,Intl. Business Machines,461.4,46.5
1955.0,62.0,Anaconda,461.1,26.7
1955.0,63.0,Tidewater Oil,459.0,34.5
1955.0,64.0,Cudahy,454.8,-7.2
1955.0,65.0,Briggs Manufacturing,440.9,0.8
1955.0,66.0,Sperry,440.9,28.5
1955.0,67.0,Nabisco Group Holdings,438.3,44.8
1955.0,68.0,PPG Industries,431.0,38.6
1955.0,69.0,Dow Chemical,428.3,33.4
1955.0,70.0,Youngstown Sheet & Tube,428.2,20.2
1955.0,71.0,Kennecott,423.6,77.9
1955.0,72.0,NL Industries,419.3,36.6
1955.0,73.0,Standard Brands,415.9,10.6
1955.0,74.0,Sealed Air,413.4,14.8
1955.0,75.0,Caterpillar,401.0,25.1
1955.0,76.0,American Motors,400.3,-11.1
1955.0,77.0,Ralston Purina,399.6,15.5
1955.0,78.0,American Cyanamid,397.6,27.1
1955.0,79.0,Pullman,391.0,13.3
